gemeinde_name,ags_gemeinde,ags_kreis,kdu_region,source_document,valid_from,max_wohnflaeche_sqm_1p,max_wohnflaeche_sqm_2p,max_wohnflaeche_sqm_3p,max_wohnflaeche_sqm_4p,max_wohnflaeche_sqm_5p,max_wohnflaeche_sqm_addl,max_nettokaltmiete_eur_1p,max_nettokaltmiete_eur_2p,max_nettokaltmiete_eur_3p,max_nettokaltmiete_eur_4p,max_nettokaltmiete_eur_5p,max_nettokaltmiete_eur_addl,max_nettokaltmiete_eur_sqm,max_bruttokaltmiete_eur_1p,max_bruttokaltmiete_eur_2p,max_bruttokaltmiete_eur_3p,max_bruttokaltmiete_eur_4p,max_bruttokaltmiete_eur_5p,max_bruttokaltmiete_eur_addl,max_bruttokaltmiete_eur_sqm,wogg_mietstufe,notes,wogv_mietstufe,wogg_hoechstbetrag_eur_1p,wogg_hoechstbetrag_eur_2p,wogg_hoechstbetrag_eur_4p,kdu_vs_wogg_pct_1p,kdu_vs_wogg_pct_2p,kdu_vs_wogg_pct_4p
Hedwigenkoog,01051043,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,497.5,514.8,627,751.5,866.25,123.75,,1,"Vergleichsraum Nord; Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,37.8,17.8,23.6
Heide,01051044,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,497.5,514.8,627,751.5,866.25,123.75,,2,"Vergleichsraum Nord; Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",2,408,493,686,21.9,4.4,9.5
Hellschen-Heringsand-Unterschaar,01051045,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,497.5,514.8,627,751.5,866.25,123.75,,1,"Vergleichsraum Nord; Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,37.8,17.8,23.6
Helse,01051046,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,435.5,491.4,606.75,699.3,856.8,122.4,,1,"Vergleichsraum Süd (alt Mitte und Süd); Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,20.6,12.4,15
Hemme,01051047,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,497.5,514.8,627,751.5,866.25,123.75,,1,"Vergleichsraum Nord; Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,37.8,17.8,23.6
Hemmingstedt,01051048,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,497.5,514.8,627,751.5,866.25,123.75,,1,"Vergleichsraum Nord; Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,37.8,17.8,23.6
Hennstedt,01051049,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,497.5,514.8,627,751.5,866.25,123.75,,1,"Vergleichsraum Nord; Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,37.8,17.8,23.6
Hillgroven,01051050,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,497.5,514.8,627,751.5,866.25,123.75,,1,"Vergleichsraum Nord; Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,37.8,17.8,23.6
Hochdonn,01051051,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,435.5,491.4,606.75,699.3,856.8,122.4,,1,"Vergleichsraum Süd (alt Mitte und Süd); Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,20.6,12.4,15
Hövede,01051052,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,497.5,514.8,627,751.5,866.25,123.75,,1,"Vergleichsraum Nord; Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,37.8,17.8,23.6
Hollingstedt,01051053,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,497.5,514.8,627,751.5,866.25,123.75,,1,"Vergleichsraum Nord; Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,37.8,17.8,23.6
Immenstedt,01051054,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,435.5,491.4,606.75,699.3,856.8,122.4,,1,"Vergleichsraum Süd (alt Mitte und Süd); Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,20.6,12.4,15
Kaiser-Wilhelm-Koog,01051057,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,435.5,491.4,606.75,699.3,856.8,122.4,,1,"Vergleichsraum Süd (alt Mitte und Süd); Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,20.6,12.4,15
